database_name,schema_name,table_name,column_name,glossary_name,category_name,term_name
ecommerce_db,acme_corp,employee_role_history,end_date,acme_corp_glossary,people_and_hr,Tenure
ecommerce_db,acme_corp,employees,department_id,acme_corp_glossary,people_and_hr,Department
ecommerce_db,acme_corp,employees,job_title_id,acme_corp_glossary,people_and_hr,Job Title
ecommerce_db,acme_corp,job_titles,level,acme_corp_glossary,people_and_hr,Career Level
ecommerce_db,acme_corp,job_titles,min_salary,acme_corp_glossary,people_and_hr,Salary Band
ecommerce_db,acme_corp,job_titles,max_salary,acme_corp_glossary,people_and_hr,Salary Band
ecommerce_db,acme_corp,compensation,base_salary,acme_corp_glossary,people_and_hr,Salary Band
ecommerce_db,acme_corp,compensation,change_type,acme_corp_glossary,people_and_hr,Compensation Event
ecommerce_db,acme_corp,compensation,base_salary,acme_corp_glossary,people_and_hr,Base Salary
ecommerce_db,acme_corp,compensation,equity_grant_usd,acme_corp_glossary,people_and_hr,Equity Grant
ecommerce_db,acme_corp,performance_reviews,overall_rating,acme_corp_glossary,people_and_hr,Performance Review
ecommerce_db,acme_corp,performance_reviews,numeric_score,acme_corp_glossary,people_and_hr,Performance Review
ecommerce_db,acme_corp,employee_training,completion_status,acme_corp_glossary,people_and_hr,Training Completion
ecommerce_db,acme_corp,employee_training,score,acme_corp_glossary,people_and_hr,Training Completion
ecommerce_db,acme_corp,employees,office_id,acme_corp_glossary,people_and_hr,Office
ecommerce_db,acme_corp,vendor_contracts,annual_spend_usd,acme_corp_glossary,finance_and_procurement,Annual Vendor Spend
ecommerce_db,acme_corp,projects,budget_usd,acme_corp_glossary,operations_and_projects,Project Budget
ecommerce_db,acme_corp,projects,spend_usd,acme_corp_glossary,operations_and_projects,Project Budget
ecommerce_db,acme_corp,project_assignments,allocation_pct,acme_corp_glossary,operations_and_projects,Project Assignment
